"Character","Timecode In","Timecode Out","Dialogue"
,00:00:00:00,00:00:01:22,"ابتعدوا!"
"جيهان",00:00:03:02,00:00:05:13,"أخبرني يا (جيهان)
ألا تزال حية؟"
"وليم",00:00:08:06,00:00:09:24,"ألا تزال حية؟"
"دانا",00:00:10:05,00:00:11:24,"ساعدينا أرجوك"
,00:00:12:04,00:00:15:14,"أرجوك يا (فيدان)
أنقذي ابنتي"
,00:00:15:16,00:00:18:21,"انسي المشكلات الموجودة بينكما
قال لك إن الفتاة ستموت"
,00:00:18:23,00:00:21:11,"ما ذنب تلك الفتاة يا أمي؟"
,00:00:22:12,00:00:23:16,"لا تتركها"
,00:00:24:24,00:00:27:15,"لا الآن ولا في المستقبل"
,00:00:28:15,00:00:30:03,"لا تترك يد ابنتي"
,00:00:33:19,00:00:35:14,"أليس لديك فضول لتعرفي ماذا أجبت؟"
,00:00:38:08,00:00:41:21,"ربما شرحت لها
وقلت لها إن هذا غير ممكن"
,00:00:46:00,00:00:47:23,"أيمكن أن يحدث غير هذا؟"